Hourly measurement data from Defra on,19/03/2025
Site Name,London Bloomsbury
Site Type, Urban Background
Region, Greater London
Latitude, 51.52229
Longitude, -0.125889
Notes:, [1] All Data GMT hour ending;  [2] Some shorthand is used, V = Verified, P = Provisionally Verified, N = Not Verified, S = Suspect, [3] Unit of measurement (for pollutants) = ugm-3
Date,PM10 particulate matter (Hourly measured),Status
2024-05-16,14.664583333333333333333333333,V
2024-05-17,9.716666666666666666666666667,V
2024-05-18,16.904166666666666666666666667,V
2024-05-19,26.225,V
2024-05-20,22.232291666666666666666666667,V
2024-05-21,12.473958333333333333333333333,V
2024-05-22,10.805208333333333333333333333,V
2024-05-23,8.522916666666666666666666667,V
2024-05-24,9.253125,V
2024-05-25,12.646875,V
2024-05-26,6.6260416666666666666666666667,V
2024-05-27,6.6520833333333333333333333333,V
2024-05-28,8.953125,V
2024-05-29,6.8177083333333333333333333333,V
2024-05-30,7.1958333333333333333333333333,V
2024-05-31,10.384375,V
2024-06-01,11.028125,V
2024-06-02,14.457291666666666666666666667,V
2024-06-03,8.6125,V
2024-06-04,9.773958333333333333333333333,V
2024-06-05,15.310416666666666666666666667,V
2024-06-06,16.534375,V
